,Team,year,Distance,Frequency,Win,ORtg
129,Atlanta Hawks,2008,Over 16 ft,0.261,0.451,107.6
130,Atlanta Hawks,2008,3P,0.165,0.451,107.6
131,Atlanta Hawks,2009,0-3 ft,0.267,0.573,110.28
132,Atlanta Hawks,2009,3-10 ft,0.16,0.573,110.28
133,Atlanta Hawks,2009,10-16 ft,0.101,0.573,110.28
134,Atlanta Hawks,2009,Over 16 ft,0.219,0.573,110.28
135,Atlanta Hawks,2009,3P,0.253,0.573,110.28
136,Atlanta Hawks,2010,0-3 ft,0.296,0.646,112.6
137,Atlanta Hawks,2010,3-10 ft,0.167,0.646,112.6
138,Atlanta Hawks,2010,10-16 ft,0.087,0.646,112.6
139,Atlanta Hawks,2010,Over 16 ft,0.237,0.646,112.6
140,Atlanta Hawks,2010,3P,0.214,0.646,112.6
141,Atlanta Hawks,2011,0-3 ft,0.233,0.537,107.01
142,Atlanta Hawks,2011,3-10 ft,0.175,0.537,107.01
143,Atlanta Hawks,2011,10-16 ft,0.097,0.537,107.01
144,Atlanta Hawks,2011,Over 16 ft,0.274,0.537,107.01
145,Atlanta Hawks,2011,3P,0.222,0.537,107.01
146,Atlanta Hawks,2012,0-3 ft,0.277,0.606,105.74
147,Atlanta Hawks,2012,3-10 ft,0.153,0.606,105.74
148,Atlanta Hawks,2012,10-16 ft,0.074,0.606,105.74
149,Atlanta Hawks,2012,Over 16 ft,0.247,0.606,105.74
150,Atlanta Hawks,2012,3P,0.249,0.606,105.74
151,Atlanta Hawks,2013,0-3 ft,0.281,0.537,105.5
152,Atlanta Hawks,2013,3-10 ft,0.152,0.537,105.5
153,Atlanta Hawks,2013,10-16 ft,0.073,0.537,105.5
154,Atlanta Hawks,2013,Over 16 ft,0.208,0.537,105.5
155,Atlanta Hawks,2013,3P,0.286,0.537,105.5
156,Atlanta Hawks,2014,0-3 ft,0.263,0.463,106.71
157,Atlanta Hawks,2014,3-10 ft,0.174,0.463,106.71
158,Atlanta Hawks,2014,10-16 ft,0.102,0.463,106.71
159,Atlanta Hawks,2014,Over 16 ft,0.145,0.463,106.71
160,Atlanta Hawks,2014,3P,0.316,0.463,106.71
161,Atlanta Hawks,2015,0-3 ft,0.29,0.732,110
162,Atlanta Hawks,2015,3-10 ft,0.158,0.732,110
163,Atlanta Hawks,2015,10-16 ft,0.08,0.732,110
164,Atlanta Hawks,2015,Over 16 ft,0.151,0.732,110
165,Atlanta Hawks,2015,3P,0.321,0.732,110
166,Atlanta Hawks,2016,0-3 ft,0.326,0.585,105.75
167,Atlanta Hawks,2016,3-10 ft,0.121,0.585,105.75
168,Atlanta Hawks,2016,10-16 ft,0.078,0.585,105.75
169,Atlanta Hawks,2016,Over 16 ft,0.138,0.585,105.75
170,Atlanta Hawks,2016,3P,0.336,0.585,105.75
171,Atlanta Hawks,2017,0-3 ft,0.331,0.524,105.55
172,Atlanta Hawks,2017,3-10 ft,0.117,0.524,105.55
173,Atlanta Hawks,2017,10-16 ft,0.092,0.524,105.55
174,Atlanta Hawks,2017,Over 16 ft,0.151,0.524,105.55
175,Atlanta Hawks,2017,3P,0.309,0.524,105.55
176,Atlanta Hawks,2018,0-3 ft,0.279,0.293,105.74
177,Atlanta Hawks,2018,3-10 ft,0.131,0.293,105.74
178,Atlanta Hawks,2018,10-16 ft,0.105,0.293,105.74
179,Atlanta Hawks,2018,Over 16 ft,0.122,0.293,105.74
180,Atlanta Hawks,2018,3P,0.363,0.293,105.74
181,Boston Celtics,2001,0-3 ft,0.287,0.439,102.41
182,Boston Celtics,2001,3-10 ft,0.161,0.439,102.41
183,Boston Celtics,2001,10-16 ft,0.121,0.439,102.41
184,Boston Celtics,2001,Over 16 ft,0.18,0.439,102.41
185,Boston Celtics,2001,3P,0.252,0.439,102.41
186,Boston Celtics,2002,0-3 ft,0.293,0.598,104.1
187,Boston Celtics,2002,3-10 ft,0.124,0.598,104.1
188,Boston Celtics,2002,10-16 ft,0.111,0.598,104.1
189,Boston Celtics,2002,Over 16 ft,0.182,0.598,104.1
190,Boston Celtics,2002,3P,0.289,0.598,104.1
191,Boston Celtics,2003,0-3 ft,0.268,0.537,101.9
192,Boston Celtics,2003,3-10 ft,0.14,0.537,101.9
193,Boston Celtics,2003,10-16 ft,0.109,0.537,101.9
194,Boston Celtics,2003,Over 16 ft,0.152,0.537,101.9
195,Boston Celtics,2003,3P,0.331,0.537,101.9
196,Boston Celtics,2004,0-3 ft,0.285,0.439,102.76
197,Boston Celtics,2004,3-10 ft,0.126,0.439,102.76
198,Boston Celtics,2004,10-16 ft,0.118,0.439,102.76
199,Boston Celtics,2004,Over 16 ft,0.222,0.439,102.76
200,Boston Celtics,2004,3P,0.249,0.439,102.76
201,Boston Celtics,2005,0-3 ft,0.364,0.549,108.31
202,Boston Celtics,2005,3-10 ft,0.119,0.549,108.31
203,Boston Celtics,2005,10-16 ft,0.113,0.549,108.31
204,Boston Celtics,2005,Over 16 ft,0.212,0.549,108.31
205,Boston Celtics,2005,3P,0.192,0.549,108.31
206,Boston Celtics,2006,0-3 ft,0.341,0.402,106.12
207,Boston Celtics,2006,3-10 ft,0.117,0.402,106.12
208,Boston Celtics,2006,10-16 ft,0.111,0.402,106.12
209,Boston Celtics,2006,Over 16 ft,0.228,0.402,106.12
210,Boston Celtics,2006,3P,0.204,0.402,106.12
211,Boston Celtics,2007,0-3 ft,0.317,0.293,104.07
212,Boston Celtics,2007,3-10 ft,0.152,0.293,104.07
213,Boston Celtics,2007,10-16 ft,0.102,0.293,104.07
214,Boston Celtics,2007,Over 16 ft,0.23,0.293,104.07
215,Boston Celtics,2007,3P,0.199,0.293,104.07
216,Boston Celtics,2008,0-3 ft,0.32,0.805,111.1
217,Boston Celtics,2008,3-10 ft,0.118,0.805,111.1
218,Boston Celtics,2008,10-16 ft,0.102,0.805,111.1
219,Boston Celtics,2008,Over 16 ft,0.211,0.805,111.1
220,Boston Celtics,2008,3P,0.249,0.805,111.1
221,Boston Celtics,2009,0-3 ft,0.332,0.756,111.25
222,Boston Celtics,2009,3-10 ft,0.123,0.756,111.25
223,Boston Celtics,2009,10-16 ft,0.109,0.756,111.25
224,Boston Celtics,2009,Over 16 ft,0.223,0.756,111.25
225,Boston Celtics,2009,3P,0.214,0.756,111.25
226,Boston Celtics,2010,0-3 ft,0.339,0.61,108.65
227,Boston Celtics,2010,3-10 ft,0.139,0.61,108.65
228,Boston Celtics,2010,10-16 ft,0.107,0.61,108.65
229,Boston Celtics,2010,Over 16 ft,0.188,0.61,108.65
230,Boston Celtics,2010,3P,0.228,0.61,108.65
231,Boston Celtics,2011,0-3 ft,0.313,0.683,107.36
232,Boston Celtics,2011,3-10 ft,0.14,0.683,107.36
233,Boston Celtics,2011,10-16 ft,0.113,0.683,107.36
234,Boston Celtics,2011,Over 16 ft,0.254,0.683,107.36
235,Boston Celtics,2011,3P,0.18,0.683,107.36
236,Boston Celtics,2012,0-3 ft,0.28,0.591,102.12
237,Boston Celtics,2012,3-10 ft,0.116,0.591,102.12
238,Boston Celtics,2012,10-16 ft,0.145,0.591,102.12
239,Boston Celtics,2012,Over 16 ft,0.266,0.591,102.12
240,Boston Celtics,2012,3P,0.194,0.591,102.12
241,Boston Celtics,2013,0-3 ft,0.287,0.506,104.07
242,Boston Celtics,2013,3-10 ft,0.13,0.506,104.07
243,Boston Celtics,2013,10-16 ft,0.128,0.506,104.07
244,Boston Celtics,2013,Over 16 ft,0.239,0.506,104.07
245,Boston Celtics,2013,3P,0.215,0.506,104.07
246,Boston Celtics,2014,0-3 ft,0.273,0.305,103.82
247,Boston Celtics,2014,3-10 ft,0.148,0.305,103.82
248,Boston Celtics,2014,10-16 ft,0.109,0.305,103.82
249,Boston Celtics,2014,Over 16 ft,0.219,0.305,103.82
250,Boston Celtics,2014,3P,0.251,0.305,103.82
251,Boston Celtics,2015,0-3 ft,0.279,0.488,105.32
252,Boston Celtics,2015,3-10 ft,0.145,0.488,105.32
253,Boston Celtics,2015,10-16 ft,0.103,0.488,105.32
254,Boston Celtics,2015,Over 16 ft,0.193,0.488,105.32
255,Boston Celtics,2015,3P,0.28,0.488,105.32
256,Boston Celtics,2016,0-3 ft,0.318,0.585,107.3
257,Boston Celtics,2016,3-10 ft,0.141,0.585,107.3
258,Boston Celtics,2016,10-16 ft,0.094,0.585,107.3
259,Boston Celtics,2016,Over 16 ft,0.154,0.585,107.3
260,Boston Celtics,2016,3P,0.293,0.585,107.3
261,Boston Celtics,2017,0-3 ft,0.296,0.646,111.88
262,Boston Celtics,2017,3-10 ft,0.129,0.646,111.88
263,Boston Celtics,2017,10-16 ft,0.071,0.646,111.88
264,Boston Celtics,2017,Over 16 ft,0.111,0.646,111.88
265,Boston Celtics,2017,3P,0.393,0.646,111.88
266,Boston Celtics,2018,0-3 ft,0.259,0.671,108.4
267,Boston Celtics,2018,3-10 ft,0.158,0.671,108.4
268,Boston Celtics,2018,10-16 ft,0.106,0.671,108.4
269,Boston Celtics,2018,Over 16 ft,0.12,0.671,108.4
270,Boston Celtics,2018,3P,0.357,0.671,108.4
271,Brooklyn Nets,2001,0-3 ft,0.322,0.317,100.78
272,Brooklyn Nets,2001,3-10 ft,0.137,0.317,100.78
273,Brooklyn Nets,2001,10-16 ft,0.132,0.317,100.78
274,Brooklyn Nets,2001,Over 16 ft,0.243,0.317,100.78
275,Brooklyn Nets,2001,3P,0.165,0.317,100.78
276,Brooklyn Nets,2002,0-3 ft,0.327,0.634,104.78
277,Brooklyn Nets,2002,3-10 ft,0.135,0.634,104.78
278,Brooklyn Nets,2002,10-16 ft,0.133,0.634,104.78
279,Brooklyn Nets,2002,Over 16 ft,0.23,0.634,104.78
280,Brooklyn Nets,2002,3P,0.175,0.634,104.78
281,Brooklyn Nets,2003,0-3 ft,0.34,0.598,104.42
282,Brooklyn Nets,2003,3-10 ft,0.133,0.598,104.42
283,Brooklyn Nets,2003,10-16 ft,0.112,0.598,104.42
284,Brooklyn Nets,2003,Over 16 ft,0.258,0.598,104.42
285,Brooklyn Nets,2003,3P,0.158,0.598,104.42
286,Brooklyn Nets,2004,0-3 ft,0.332,0.573,101.76
287,Brooklyn Nets,2004,3-10 ft,0.111,0.573,101.76
288,Brooklyn Nets,2004,10-16 ft,0.113,0.573,101.76
289,Brooklyn Nets,2004,Over 16 ft,0.268,0.573,101.76
290,Brooklyn Nets,2004,3P,0.176,0.573,101.76
291,Brooklyn Nets,2005,0-3 ft,0.276,0.512,102.29
292,Brooklyn Nets,2005,3-10 ft,0.118,0.512,102.29
293,Brooklyn Nets,2005,10-16 ft,0.119,0.512,102.29
294,Brooklyn Nets,2005,Over 16 ft,0.299,0.512,102.29
295,Brooklyn Nets,2005,3P,0.187,0.512,102.29
296,Brooklyn Nets,2006,0-3 ft,0.299,0.598,104.66
297,Brooklyn Nets,2006,3-10 ft,0.114,0.598,104.66
298,Brooklyn Nets,2006,10-16 ft,0.102,0.598,104.66
299,Brooklyn Nets,2006,Over 16 ft,0.257,0.598,104.66
300,Brooklyn Nets,2006,3P,0.229,0.598,104.66
301,Brooklyn Nets,2007,0-3 ft,0.332,0.5,106.45
302,Brooklyn Nets,2007,3-10 ft,0.089,0.5,106.45
303,Brooklyn Nets,2007,10-16 ft,0.077,0.5,106.45
304,Brooklyn Nets,2007,Over 16 ft,0.24,0.5,106.45
305,Brooklyn Nets,2007,3P,0.263,0.5,106.45
306,Brooklyn Nets,2008,0-3 ft,0.347,0.415,104.61
307,Brooklyn Nets,2008,3-10 ft,0.085,0.415,104.61
308,Brooklyn Nets,2008,10-16 ft,0.09,0.415,104.61
309,Brooklyn Nets,2008,Over 16 ft,0.256,0.415,104.61
310,Brooklyn Nets,2008,3P,0.222,0.415,104.61
311,Brooklyn Nets,2009,0-3 ft,0.33,0.415,109.14
312,Brooklyn Nets,2009,3-10 ft,0.088,0.415,109.14
313,Brooklyn Nets,2009,10-16 ft,0.102,0.415,109.14
314,Brooklyn Nets,2009,Over 16 ft,0.215,0.415,109.14
315,Brooklyn Nets,2009,3P,0.265,0.415,109.14
316,Brooklyn Nets,2010,0-3 ft,0.346,0.146,101.54
317,Brooklyn Nets,2010,3-10 ft,0.126,0.146,101.54
318,Brooklyn Nets,2010,10-16 ft,0.119,0.146,101.54
319,Brooklyn Nets,2010,Over 16 ft,0.229,0.146,101.54
320,Brooklyn Nets,2010,3P,0.181,0.146,101.54
321,Brooklyn Nets,2011,0-3 ft,0.236,0.293,103.99
322,Brooklyn Nets,2011,3-10 ft,0.213,0.293,103.99
323,Brooklyn Nets,2011,10-16 ft,0.123,0.293,103.99
324,Brooklyn Nets,2011,Over 16 ft,0.227,0.293,103.99
325,Brooklyn Nets,2011,3P,0.201,0.293,103.99
326,Brooklyn Nets,2012,0-3 ft,0.255,0.333,103.77
327,Brooklyn Nets,2012,3-10 ft,0.134,0.333,103.77
328,Brooklyn Nets,2012,10-16 ft,0.126,0.333,103.77
329,Brooklyn Nets,2012,Over 16 ft,0.207,0.333,103.77
330,Brooklyn Nets,2012,3P,0.278,0.333,103.77
331,Brooklyn Nets,2013,0-3 ft,0.272,0.598,109.1
332,Brooklyn Nets,2013,3-10 ft,0.203,0.598,109.1
333,Brooklyn Nets,2013,10-16 ft,0.102,0.598,109.1
334,Brooklyn Nets,2013,Over 16 ft,0.154,0.598,109.1
335,Brooklyn Nets,2013,3P,0.269,0.598,109.1
336,Brooklyn Nets,2014,0-3 ft,0.256,0.537,107.42
337,Brooklyn Nets,2014,3-10 ft,0.171,0.537,107.42
338,Brooklyn Nets,2014,10-16 ft,0.112,0.537,107.42
339,Brooklyn Nets,2014,Over 16 ft,0.16,0.537,107.42
340,Brooklyn Nets,2014,3P,0.301,0.537,107.42
341,Brooklyn Nets,2015,0-3 ft,0.268,0.463,105.15
342,Brooklyn Nets,2015,3-10 ft,0.213,0.463,105.15
343,Brooklyn Nets,2015,10-16 ft,0.116,0.463,105.15
344,Brooklyn Nets,2015,Over 16 ft,0.164,0.463,105.15
345,Brooklyn Nets,2015,3P,0.24,0.463,105.15
346,Brooklyn Nets,2016,0-3 ft,0.284,0.256,103.74
347,Brooklyn Nets,2016,3-10 ft,0.211,0.256,103.74
348,Brooklyn Nets,2016,10-16 ft,0.106,0.256,103.74
349,Brooklyn Nets,2016,Over 16 ft,0.181,0.256,103.74
350,Brooklyn Nets,2016,3P,0.218,0.256,103.74
351,Brooklyn Nets,2017,0-3 ft,0.309,0.244,104.61
352,Brooklyn Nets,2017,3-10 ft,0.173,0.244,104.61
353,Brooklyn Nets,2017,10-16 ft,0.077,0.244,104.61
354,Brooklyn Nets,2017,Over 16 ft,0.07,0.244,104.61
355,Brooklyn Nets,2017,3P,0.371,0.244,104.61
356,Brooklyn Nets,2018,0-3 ft,0.269,0.341,107.71
357,Brooklyn Nets,2018,3-10 ft,0.175,0.341,107.71
358,Brooklyn Nets,2018,10-16 ft,0.083,0.341,107.71
359,Brooklyn Nets,2018,Over 16 ft,0.062,0.341,107.71
360,Brooklyn Nets,2018,3P,0.411,0.341,107.71
361,Charlotte Hornets,2001,0-3 ft,0,,
362,Charlotte Hornets,2001,3-10 ft,0,,
363,Charlotte Hornets,2001,10-16 ft,0,,
364,Charlotte Hornets,2001,Over 16 ft,0,,
365,Charlotte Hornets,2001,3P,0,,
366,Charlotte Hornets,2002,0-3 ft,0,,
367,Charlotte Hornets,2002,3-10 ft,0,,
368,Charlotte Hornets,2002,10-16 ft,0,,
369,Charlotte Hornets,2002,Over 16 ft,0,,
370,Charlotte Hornets,2002,3P,0,,
371,Charlotte Hornets,2003,0-3 ft,0,,
372,Charlotte Hornets,2003,3-10 ft,0,,
373,Charlotte Hornets,2003,10-16 ft,0,,
374,Charlotte Hornets,2003,Over 16 ft,0,,
375,Charlotte Hornets,2003,3P,0,,
376,Charlotte Hornets,2004,0-3 ft,0,,
377,Charlotte Hornets,2004,3-10 ft,0,,
378,Charlotte Hornets,2004,10-16 ft,0,,
379,Charlotte Hornets,2004,Over 16 ft,0,,
380,Charlotte Hornets,2004,3P,0,,
381,Charlotte Hornets,2005,0-3 ft,0.284,0.22,101.91
382,Charlotte Hornets,2005,3-10 ft,0.149,0.22,101.91
383,Charlotte Hornets,2005,10-16 ft,0.145,0.22,101.91
384,Charlotte Hornets,2005,Over 16 ft,0.294,0.22,101.91
385,Charlotte Hornets,2005,3P,0.128,0.22,101.91
386,Charlotte Hornets,2006,0-3 ft,0.328,0.317,103.14
387,Charlotte Hornets,2006,3-10 ft,0.12,0.317,103.14
388,Charlotte Hornets,2006,10-16 ft,0.107,0.317,103.14
389,Charlotte Hornets,2006,Over 16 ft,0.261,0.317,103.14
390,Charlotte Hornets,2006,3P,0.184,0.317,103.14
391,Charlotte Hornets,2007,0-3 ft,0.335,0.402,104.29
392,Charlotte Hornets,2007,3-10 ft,0.129,0.402,104.29
393,Charlotte Hornets,2007,10-16 ft,0.095,0.402,104.29
394,Charlotte Hornets,2007,Over 16 ft,0.249,0.402,104.29
395,Charlotte Hornets,2007,3P,0.193,0.402,104.29
396,Charlotte Hornets,2008,0-3 ft,0.338,0.39,105.39
397,Charlotte Hornets,2008,3-10 ft,0.114,0.39,105.39
398,Charlotte Hornets,2008,10-16 ft,0.098,0.39,105.39
399,Charlotte Hornets,2008,Over 16 ft,0.229,0.39,105.39
400,Charlotte Hornets,2008,3P,0.22,0.39,105.39
401,Charlotte Hornets,2009,0-3 ft,0.368,0.427,105.42
402,Charlotte Hornets,2009,3-10 ft,0.119,0.427,105.42
403,Charlotte Hornets,2009,10-16 ft,0.082,0.427,105.42
404,Charlotte Hornets,2009,Over 16 ft,0.219,0.427,105.42
405,Charlotte Hornets,2009,3P,0.213,0.427,105.42
406,Charlotte Hornets,2010,0-3 ft,0.408,0.537,105.26
407,Charlotte Hornets,2010,3-10 ft,0.098,0.537,105.26
408,Charlotte Hornets,2010,10-16 ft,0.08,0.537,105.26
409,Charlotte Hornets,2010,Over 16 ft,0.203,0.537,105.26
410,Charlotte Hornets,2010,3P,0.211,0.537,105.26
411,Charlotte Hornets,2011,0-3 ft,0.334,0.415,104.32
412,Charlotte Hornets,2011,3-10 ft,0.145,0.415,104.32
413,Charlotte Hornets,2011,10-16 ft,0.097,0.415,104.32
414,Charlotte Hornets,2011,Over 16 ft,0.235,0.415,104.32
415,Charlotte Hornets,2011,3P,0.189,0.415,104.32
416,Charlotte Hornets,2012,0-3 ft,0.29,0.106,95.85
417,Charlotte Hornets,2012,3-10 ft,0.125,0.106,95.85
418,Charlotte Hornets,2012,10-16 ft,0.108,0.106,95.85
419,Charlotte Hornets,2012,Over 16 ft,0.309,0.106,95.85
420,Charlotte Hornets,2012,3P,0.169,0.106,95.85
421,Charlotte Hornets,2013,0-3 ft,0.319,0.256,102.34
422,Charlotte Hornets,2013,3-10 ft,0.147,0.256,102.34
423,Charlotte Hornets,2013,10-16 ft,0.111,0.256,102.34
424,Charlotte Hornets,2013,Over 16 ft,0.212,0.256,102.34
425,Charlotte Hornets,2013,3P,0.21,0.256,102.34
426,Charlotte Hornets,2014,0-3 ft,0.29,0.524,104.31
427,Charlotte Hornets,2014,3-10 ft,0.151,0.524,104.31
428,Charlotte Hornets,2014,10-16 ft,0.122,0.524,104.31
429,Charlotte Hornets,2014,Over 16 ft,0.218,0.524,104.31
430,Charlotte Hornets,2014,3P,0.219,0.524,104.31
431,Charlotte Hornets,2015,0-3 ft,0.263,0.402,100.92
432,Charlotte Hornets,2015,3-10 ft,0.153,0.402,100.92
433,Charlotte Hornets,2015,10-16 ft,0.124,0.402,100.92
434,Charlotte Hornets,2015,Over 16 ft,0.234,0.402,100.92
435,Charlotte Hornets,2015,3P,0.226,0.402,100.92
436,Charlotte Hornets,2016,0-3 ft,0.274,0.585,107.72
437,Charlotte Hornets,2016,3-10 ft,0.129,0.585,107.72
438,Charlotte Hornets,2016,10-16 ft,0.093,0.585,107.72
439,Charlotte Hornets,2016,Over 16 ft,0.156,0.585,107.72
440,Charlotte Hornets,2016,3P,0.348,0.585,107.72
441,Charlotte Hornets,2017,0-3 ft,0.282,0.439,109.57
442,Charlotte Hornets,2017,3-10 ft,0.133,0.439,109.57
443,Charlotte Hornets,2017,10-16 ft,0.099,0.439,109.57
444,Charlotte Hornets,2017,Over 16 ft,0.152,0.439,109.57
445,Charlotte Hornets,2017,3P,0.335,0.439,109.57
446,Charlotte Hornets,2018,0-3 ft,0.273,0.439,109.95
447,Charlotte Hornets,2018,3-10 ft,0.16,0.439,109.95
448,Charlotte Hornets,2018,10-16 ft,0.114,0.439,109.95
449,Charlotte Hornets,2018,Over 16 ft,0.138,0.439,109.95
450,Charlotte Hornets,2018,3P,0.314,0.439,109.95
451,Chicago Bulls,2001,0-3 ft,0.275,0.183,98.12
452,Chicago Bulls,2001,3-10 ft,0.151,0.183,98.12
